amfi_code,scheme_name,hhi_index,dominant_sector,concentration_level
119092,Axis Bluechip Fund - Regular - Growth,2064.48,IT,Moderate Concentration
101207,ABSL Small Cap Fund - Regular - Growth,2007.0,Pharma,Moderate Concentration
119599,SBI Small Cap Fund - Direct Plan - Growth,1747.51,Banking,Moderate Concentration
102885,UTI Nifty 50 Index Fund - Regular - Growth,1747.09,Utilities,Moderate Concentration
118632,Nippon India Large Cap Fund - Regular - Growth,1682.98,Telecom,Moderate Concentration
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,1679.3,Banking,Moderate Concentration
120505,ICICI Pru Midcap Fund - Regular - Growth,1575.7,Pharma,Moderate Concentration
120506,ICICI Pru Value Discovery Fund - Regular - Growth,1537.94,Banking,Moderate Concentration
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,1524.14,Banking,Moderate Concentration
120841,Kotak Bluechip Fund - Regular - Growth,1496.8,Pharma,Well Diversified
148569,Mirae Asset Tax Saver Fund - Regular - Growth,1493.96,Banking,Well Diversified
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,1475.92,Banking,Well Diversified
149323,DSP Midcap Fund - Regular - Growth,1416.21,Pharma,Well Diversified
120503,ICICI Pru Bluechip Fund - Regular - Growth,1408.7,FMCG,Well Diversified
100016,HDFC Top 100 Fund - Regular Plan - Growth,1395.34,IT,Well Diversified
148567,Mirae Asset Large Cap Fund - Regular - Growth,1385.84,Banking,Well Diversified
125497,HDFC Top 100 Fund - Direct Plan - Growth,1365.86,IT,Well Diversified
119094,Axis Midcap Fund - Regular - Growth,1364.06,FMCG,Well Diversified
118635,Nippon India ETF Nifty 50 BeES,1359.44,IT,Well Diversified
149322,DSP Top 100 Equity Fund - Regular - Growth,1343.98,Banking,Well Diversified
119093,Axis Bluechip Fund - Direct - Growth,1308.94,IT,Well Diversified
102887,UTI Flexi Cap Fund - Regular - Growth,1298.05,Pharma,Well Diversified
101206,ABSL Frontline Equity Fund - Regular - Growth,1293.32,Banking,Well Diversified
120843,Kotak Flexicap Fund - Regular - Growth,1286.83,Utilities,Well Diversified
120842,Kotak Emerging Equity Fund - Regular - Growth,1274.39,Automobile,Well Diversified
118633,Nippon India Large Cap Fund - Direct - Growth,1214.61,Banking,Well Diversified
119551,SBI Bluechip Fund - Regular Plan - Growth,1187.16,Utilities,Well Diversified
149324,DSP Small Cap Fund - Regular - Growth,1186.77,Pharma,Well Diversified
102886,UTI Mid Cap Fund - Regular - Growth,1146.93,Consumer Goods,Well Diversified
119095,Axis Small Cap Fund - Regular - Growth,1096.05,IT,Well Diversified
120504,ICICI Pru Bluechip Fund - Direct - Growth,1086.74,Banking,Well Diversified
118634,Nippon India Small Cap Fund - Regular - Growth,1083.58,FMCG,Well Diversified
119552,SBI Bluechip Fund - Direct Plan - Growth,1080.11,Automobile,Well Diversified
119598,SBI Small Cap Fund - Regular Plan - Growth,1073.49,IT,Well Diversified
