investor_id,total_sips,avg_gap_days,max_gap_days,total_sip_amount_inr,status
INV001890,6,102.6,207.0,7890,AT_RISK
INV001156,6,102.4,175.0,51977,AT_RISK
INV004296,6,102.2,304.0,77419,AT_RISK
INV003325,6,101.0,155.0,42846,AT_RISK
INV000522,6,100.8,309.0,28275,AT_RISK
INV000608,6,100.2,324.0,45475,AT_RISK
INV001883,6,99.2,203.0,16745,AT_RISK
INV002166,6,99.2,248.0,88421,AT_RISK
INV001367,6,99.0,222.0,71798,AT_RISK
INV001491,6,98.8,260.0,37904,AT_RISK
INV004454,6,98.4,311.0,64506,AT_RISK
INV002873,6,98.2,235.0,103488,AT_RISK
INV003684,6,98.2,229.0,50536,AT_RISK
INV001769,6,98.0,166.0,28957,AT_RISK
INV001237,6,98.0,182.0,66778,AT_RISK
INV000437,6,97.8,295.0,32739,AT_RISK
INV001141,6,97.6,132.0,34460,AT_RISK
INV001304,6,97.6,177.0,127605,AT_RISK
INV002558,6,97.6,297.0,52002,AT_RISK
INV000318,6,97.4,175.0,69726,AT_RISK
INV004143,6,97.0,280.0,61426,AT_RISK
INV001070,6,97.0,329.0,103923,AT_RISK
INV001190,6,97.0,198.0,45744,AT_RISK
INV002395,6,97.0,225.0,58610,AT_RISK
INV000380,6,97.0,272.0,72700,AT_RISK
INV002912,6,97.0,342.0,82487,AT_RISK
INV001013,6,96.8,164.0,81838,AT_RISK
INV003649,6,96.8,195.0,86339,AT_RISK
INV003193,6,96.6,294.0,65353,AT_RISK
INV003686,6,96.6,328.0,70889,AT_RISK
INV003234,6,96.6,188.0,45926,AT_RISK
INV004625,6,96.4,246.0,78521,AT_RISK
INV001891,6,96.4,261.0,22169,AT_RISK
INV001167,6,96.2,207.0,78024,AT_RISK
INV000549,6,96.2,146.0,86784,AT_RISK
INV000335,6,96.0,279.0,68848,AT_RISK
INV002883,6,96.0,176.0,127978,AT_RISK
INV003473,6,95.8,213.0,40058,AT_RISK
INV001809,6,95.6,249.0,66937,AT_RISK
INV002463,6,95.4,236.0,43792,AT_RISK
INV002372,6,95.2,133.0,55170,AT_RISK
INV002560,6,95.2,155.0,25934,AT_RISK
INV003996,6,95.2,244.0,97507,AT_RISK
INV003645,6,95.2,257.0,18205,AT_RISK
INV001772,6,95.0,184.0,113146,AT_RISK
INV000491,6,95.0,202.0,43008,AT_RISK
INV004463,6,94.8,211.0,77554,AT_RISK
INV000214,6,94.8,306.0,67357,AT_RISK
INV002348,6,94.4,166.0,43335,AT_RISK
INV000663,6,94.4,247.0,83316,AT_RISK
INV001331,6,94.2,202.0,31343,AT_RISK
INV000814,6,94.0,195.0,111708,AT_RISK
INV002594,6,94.0,244.0,98891,AT_RISK
INV000339,6,94.0,195.0,74556,AT_RISK
INV000651,6,94.0,304.0,34381,AT_RISK
INV001602,6,93.8,294.0,66310,AT_RISK
INV004704,6,93.8,141.0,86091,AT_RISK
INV000652,6,93.8,262.0,34837,AT_RISK
INV001005,6,93.6,206.0,74535,AT_RISK
INV000238,6,93.6,287.0,146422,AT_RISK
INV000028,6,93.6,238.0,84262,AT_RISK
INV004181,6,93.4,245.0,151759,AT_RISK
INV004738,6,93.2,148.0,47110,AT_RISK
INV001055,6,93.2,177.0,77109,AT_RISK
INV003985,6,93.0,191.0,25396,AT_RISK
INV001545,6,92.8,208.0,85986,AT_RISK
INV000673,6,92.8,235.0,145533,AT_RISK
INV000087,6,92.8,202.0,105288,AT_RISK
INV000737,6,92.6,168.0,146341,AT_RISK
INV003683,6,92.4,165.0,85416,AT_RISK
INV001316,6,92.4,198.0,14835,AT_RISK
INV003350,6,92.4,191.0,27929,AT_RISK
INV003968,6,92.4,209.0,55226,AT_RISK
INV001196,6,92.2,169.0,61840,AT_RISK
INV001287,6,92.2,157.0,74519,AT_RISK
INV000245,6,92.2,164.0,46023,AT_RISK
INV001623,6,92.0,188.0,62993,AT_RISK
INV000217,6,92.0,183.0,44146,AT_RISK
INV002138,6,91.8,189.0,20298,AT_RISK
INV000076,6,91.8,203.0,50910,AT_RISK
INV003112,6,91.6,173.0,68105,AT_RISK
INV002418,6,91.6,128.0,34952,AT_RISK
INV003718,6,91.4,284.0,81262,AT_RISK
INV000457,6,91.4,256.0,32725,AT_RISK
INV003028,6,91.4,183.0,77674,AT_RISK
INV003437,6,91.2,226.0,43627,AT_RISK
INV000862,6,91.2,372.0,119139,AT_RISK
