rank,scheme_name,category,fund_house,plan,return_3yr_pct,sharpe_ratio,sortino_ratio,alpha,beta,expense_ratio_pct,max_drawdown_pct,composite_score
1,Kotak Flexicap Fund - Regular - Growth,Flexi Cap,Kotak Mahindra MF,Regular,15.65,1.31,2.36,1.85,0.95,1.45,12.97,69.13
2,SBI Bluechip Fund - Direct Plan - Growth,Large Cap,SBI Mutual Fund,Direct,11.3,0.95,1.61,1.78,0.87,0.66,11.8,68.15
3,SBI Small Cap Fund - Regular Plan - Growth,Small Cap,SBI Mutual Fund,Regular,23.39,0.95,1.68,1.23,0.89,1.43,28.71,66.73
4,Mirae Asset Large Cap Fund - Regular - Growth,Large Cap,Mirae Asset MF,Regular,14.81,1.45,2.39,1.62,0.96,1.46,11.27,66.35
5,Nippon India Large Cap Fund - Direct - Growth,Large Cap,Nippon India MF,Direct,12.33,0.65,1.15,1.7,1.02,0.72,18.63,63.33
6,Nippon India ETF Nifty 50 BeES,Index/ETF,Nippon India MF,Direct,11.77,0.66,1.14,1.8,1.04,0.89,11.65,62.87
7,ABSL Small Cap Fund - Regular - Growth,Small Cap,Aditya Birla Sun Life MF,Regular,22.38,0.16,0.28,1.84,0.97,1.53,35.45,62.0
8,ICICI Pru Bluechip Fund - Direct - Growth,Large Cap,ICICI Prudential MF,Direct,14.41,1.03,1.81,0.88,1.03,0.8,12.59,59.83
9,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Large & Mid Cap,Mirae Asset MF,Regular,14.56,0.93,1.63,1.7,0.99,1.52,15.27,59.71
10,ICICI Pru Liquid Fund - Regular - Growth,Liquid,ICICI Prudential MF,Regular,7.68,0.5,1.05,1.85,0.26,0.74,0.1,59.33
11,SBI Small Cap Fund - Direct Plan - Growth,Small Cap,SBI Mutual Fund,Direct,23.14,-0.06,-0.09,1.13,1.04,0.72,52.57,59.06
12,ICICI Pru Midcap Fund - Regular - Growth,Mid Cap,ICICI Prudential MF,Regular,18.08,1.18,2.03,0.89,1.0,1.36,18.19,58.87
13,Axis Midcap Fund - Regular - Growth,Mid Cap,Axis Mutual Fund,Regular,15.18,1.0,1.7,1.42,1.0,1.38,20.96,58.53
14,Kotak Emerging Equity Fund - Regular - Growth,Mid Cap,Kotak Mahindra MF,Regular,18.23,0.08,0.12,1.91,1.0,1.56,24.0,57.02
15,HDFC Top 100 Fund - Direct Plan - Growth,Large Cap,HDFC Mutual Fund,Direct,13.38,0.78,1.33,1.13,0.97,0.92,15.2,56.63
16,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Mid Cap,HDFC Mutual Fund,Regular,16.58,1.09,1.83,0.95,0.91,1.38,16.22,56.33
17,UTI Flexi Cap Fund - Regular - Growth,Flexi Cap,UTI Mutual Fund,Regular,15.34,0.62,1.09,1.79,1.0,1.64,21.54,55.95
18,DSP Midcap Fund - Regular - Growth,Mid Cap,DSP Mutual Fund,Regular,17.16,1.13,1.88,1.02,0.98,1.61,17.25,55.32
19,ABSL Frontline Equity Fund - Regular - Growth,Large Cap,Aditya Birla Sun Life MF,Regular,13.78,1.03,1.8,1.34,1.03,1.6,11.29,54.29
