amfi_code,scheme_name,category,var_95_daily_pct,cvar_95_daily_pct,interpretation
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,2.69,3.24,95% confidence max 1-day loss is 2.69%
119095,Axis Small Cap Fund - Regular - Growth,Equity,2.62,3.17,95% confidence max 1-day loss is 2.62%
101207,ABSL Small Cap Fund - Regular - Growth,Equity,2.6,3.25,95% confidence max 1-day loss is 2.6%
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,2.54,3.23,95% confidence max 1-day loss is 2.54%
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,2.45,3.06,95% confidence max 1-day loss is 2.45%
149324,DSP Small Cap Fund - Regular - Growth,Equity,2.35,3.1,95% confidence max 1-day loss is 2.35%
102886,UTI Mid Cap Fund - Regular - Growth,Equity,1.92,2.33,95% confidence max 1-day loss is 1.92%
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,1.9,2.35,95% confidence max 1-day loss is 1.9%
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,1.89,2.43,95% confidence max 1-day loss is 1.89%
119094,Axis Midcap Fund - Regular - Growth,Equity,1.85,2.43,95% confidence max 1-day loss is 1.85%
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,1.84,2.31,95% confidence max 1-day loss is 1.84%
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,1.82,2.27,95% confidence max 1-day loss is 1.82%
149323,DSP Midcap Fund - Regular - Growth,Equity,1.79,2.26,95% confidence max 1-day loss is 1.79%
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,1.71,2.13,95% confidence max 1-day loss is 1.71%
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,1.52,1.94,95% confidence max 1-day loss is 1.52%
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,1.47,1.88,95% confidence max 1-day loss is 1.47%
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,1.46,1.83,95% confidence max 1-day loss is 1.46%
120843,Kotak Flexicap Fund - Regular - Growth,Equity,1.45,1.84,95% confidence max 1-day loss is 1.45%
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,1.45,1.84,95% confidence max 1-day loss is 1.45%
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,1.44,1.94,95% confidence max 1-day loss is 1.44%
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,1.44,1.81,95% confidence max 1-day loss is 1.44%
119093,Axis Bluechip Fund - Direct - Growth,Equity,1.42,1.75,95% confidence max 1-day loss is 1.42%
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,1.4,1.76,95% confidence max 1-day loss is 1.4%
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,1.37,1.75,95% confidence max 1-day loss is 1.37%
119092,Axis Bluechip Fund - Regular - Growth,Equity,1.37,1.73,95% confidence max 1-day loss is 1.37%
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,1.36,1.76,95% confidence max 1-day loss is 1.36%
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,1.36,1.75,95% confidence max 1-day loss is 1.36%
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,1.35,1.73,95% confidence max 1-day loss is 1.35%
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,1.34,1.66,95% confidence max 1-day loss is 1.34%
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,1.33,1.74,95% confidence max 1-day loss is 1.33%
120841,Kotak Bluechip Fund - Regular - Growth,Equity,1.31,1.64,95% confidence max 1-day loss is 1.31%
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,1.28,1.64,95% confidence max 1-day loss is 1.28%
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,1.26,1.55,95% confidence max 1-day loss is 1.26%
118635,Nippon India ETF Nifty 50 BeES,Equity,1.26,1.62,95% confidence max 1-day loss is 1.26%
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,0.39,0.5,95% confidence max 1-day loss is 0.39%
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,0.38,0.5,95% confidence max 1-day loss is 0.38%
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,0.38,0.49,95% confidence max 1-day loss is 0.38%
101208,ABSL Liquid Fund - Regular - Growth,Debt,0.03,0.04,95% confidence max 1-day loss is 0.03%
120844,Kotak Liquid Fund - Regular - Growth,Debt,0.03,0.04,95% confidence max 1-day loss is 0.03%
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,0.02,0.04,95% confidence max 1-day loss is 0.02%
